Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Dmitriy Muserskiy,Russian Federation,23,218,115,M,10/29/1988,Volleyball,Men's Volleyball,,,,
Dmitriy Safronov,Russian Federation,30,189,73,M,10/09/1981,Athletics,Men's Marathon,,,,
Dmitry Baga,Belarus,22,184,80,M,01/04/1990,Football,Men's Football,,,,
Dmitry Khvostov,Russian Federation,22,190,86,M,8/21/1989,Basketball,Men's Basketball,,,,
Dmitry Larionov,Russian Federation,26,185,82,M,12/22/1985,Canoe Slalom,Men's Canoe Double (C2),,,,
Dmitry Polyanskiy,Russian Federation,25,182,68,M,11/19/1986,Triathlon,Men's Triathlon,,,,
Dmitry Starodubtsev,Russian Federation,26,191,79,M,01/03/1986,Athletics,Men's Pole Vault,,,,
Dmitry Ushakov,Russian Federation,23,176,,M,8/15/1988,Trampoline,Men's Trampoline,YES,,1,
Dmytro Boyko,Ukraine,26,186,82,M,1/16/1986,Fencing,Men's Individual Sabre,,,,
Dmytro Dem'yanyuk,Ukraine,29,200,86,M,6/30/1983,Athletics,Men's High Jump,,,,
Dmytro Hrachov,Ukraine,28,180,90,M,12/05/1983,Archery,Men's Individual; Men's Team,,,,
Dmytro Kirpulyanskyy,Ukraine,27,188,76,M,06/02/1985,Modern Pentathlon,Men's Modern Pentathlon,,,,
Dmytro Krivtsov,Ukraine,27,180,74,M,04/03/1985,Cycling - Road,Men's Road Race,,,,
Dmytro Mikhai,Ukraine,22,195,94,M,2/27/1990,Rowing,Men's Double Sculls,,,,
Dmytro Zavadsky,Ukraine,23,174,70,M,11/04/1988,Badminton,Men's Singles,,,,
Dobrivoje Markovic,Serbia,26,188,81,M,4/22/1986,Handball,Men's Handball,,,,
Dobromir Dimitrov,Bulgaria,21,193,73,M,07/07/1991,Volleyball,Men's Volleyball,,,,
Docus Inzikuru,Uganda,30,162,50,F,02/02/1982,Athletics,Women's 3000m Steeplechase,,,,
Domagoj Duvnjak,Croatia,24,197,99,M,06/01/1988,Handball,Men's Handball,,,,
Domenico Valentino,Italy,28,171,,M,5/17/1984,Boxing,Men's Light (60kg),,,,
Dominic Breazeale,United States of America,26,201,,M,8/24/1985,Boxing,Men's Super Heavy (+91kg),,,,
Dominic Dugasse,Seychelles,27,188,100,M,4/19/1985,Judo,Men's -100kg,,,,
Dominic King,Great Britain,29,178,70,M,5/30/1983,Athletics,Men's 50km Race Walk,,,,
Dominik Kozma,Hungary,21,191,77,M,04/10/1991,Swimming,Men's 100m Freestyle; Men's 200m Freestyle; Men's 4x200m Freestyle Relay; Men's 4x100m Medley Relay,,,,
Dominik Meichtry,Switzerland,27,183,74,M,11/18/1984,Swimming,Men's 100m Freestyle; Men's 200m Freestyle; Men's 400m Freestyle; Men's 100m Butterfly,,,,
Dominika Cibulkova,Slovakia,23,161,59,F,05/06/1989,Tennis,Women's Singles; Women's Doubles,,,,
Dominique Allen,Great Britain,22,188,86,F,09/10/1989,Basketball,Women's Basketball,,,,
Dominique Blake,Jamaica,25,178,64,F,2/15/1987,Athletics,Women's 4 x 400m Relay,,,,
Dominique Cornu,Belgium,26,196,78,M,10/10/1985,Cycling - Track,Men's Team Pursuit,,,,
Dominique Pegg,Canada,18,157,,F,01/08/1994,Gymnastics - Artistic,Women's Individual All-Around; Women's Team; Women's Qualification,,,,
Donald Cabral,United States of America,22,178,67,M,12/12/1989,Athletics,Men's 3000m Steeplechase,,,,
Donald Sanford,Israel,25,195,80,M,02/05/1987,Athletics,Men's 400m,,,,
Donald Suxho,United States of America,36,196,95,M,2/21/1976,Volleyball,Men's Volleyball,,,,
Donald Thomas,Bahamas,28,190,81,M,07/01/1984,Athletics,Men's High Jump,,,,
Donald Young,United States of America,23,183,75,M,7/23/1989,Tennis,Men's Singles,,,,
Donata Vistartaite,Lithuania,23,170,65,F,06/11/1989,Rowing,Women's Single Sculls,,,,
Donatien Schauly,France,27,177,62,M,06/09/1985,Equestrian,Individual Eventing; Team Eventing; OCARINA DU CHANOIS,,,,
Dong Dong,People's Republic of China,23,168,,M,4/13/1989,Trampoline,Men's Trampoline,YES,1,,
Dong Hyun Im,Republic of Korea,26,184,100,M,05/12/1986,Archery,Men's Individual; Men's Team,YES,,,0.33
Dong-Young Kim,Republic of Korea,32,176,65,M,03/06/1980,Athletics,Men's 50km Race Walk,,,,
Donggeun Yu,Republic of Korea,26,185,71,M,09/03/1985,Handball,Men's Handball,,,,
Dongho Jeong,Republic of Korea,22,175,68,M,03/07/1990,Football,Men's Football,,,,
Donglun Song,People's Republic of China,21,178,82,F,4/28/1991,Water Polo,Women's Water Polo,,,,
Dongmin Cha,Republic of Korea,25,189,,M,8/24/1986,Taekwondo,Men's +80kg,,,,
Dongpeng Shi,People's Republic of China,30,192,85,M,01/06/1982,Athletics,Men's 110m Hurdles,,,,
Dongwon Ji,Republic of Korea,21,186,75,M,5/28/1991,Football,Men's Football,,,,
Dongxiang Xu,People's Republic of China,29,174,59,F,1/15/1983,Rowing,Women's Lightweight Double Sculls,,,,
Dongxiao Li,People's Republic of China,24,174,60,F,11/26/1987,Hockey,Women's Hockey,,,,
Dongyong Kim,Republic of Korea,21,187,87,M,12/12/1990,Rowing,Men's Single Sculls,,,,
Donna Vakalis,Canada,32,164,53,F,12/30/1979,Modern Pentathlon,Women's Modern Pentathlon,,,,
Dora Antal,Hungary,18,168,60,F,09/09/1993,Water Polo,Women's Water Polo,,,,
Dora Csabai,Hungary,23,175,62,F,4/20/1989,Water Polo,Women's Water Polo,,,,
Dora Czigany,Hungary,19,170,62,F,10/23/1992,Water Polo,Women's Water Polo,,,,
Dorde Markovic,Serbia,24,195,83,M,9/20/1987,Swimming,Men's 400m Freestyle,,,,
Doreen Amata,Nigeria,24,198,54,F,05/06/1988,Athletics,Women's High Jump,,,,
Dorian Lance James,South Africa,31,169,87,M,6/19/1981,Badminton,Men's Doubles,,,,
Dorian Mcmenemy,Dominican Republic,15,180,70,F,10/28/1996,Swimming,Women's 100m Butterfly,,,,
Dorian Mortelette,France,28,194,90,M,11/24/1983,Rowing,Men's Pair,YES,,0.5,
Dorian Scott,Jamaica,30,186,132,M,02/01/1982,Athletics,Men's Shot Put,,,,
Dorian van Rijsselberge,Netherlands,23,190,80,M,11/24/1988,Sailing,Men's RS-X,YES,1,,
Dorina Boczogo,Hungary,20,160,,F,2/15/1992,Gymnastics - Artistic,Women's Qualification,,,,
Doris Schwaiger,Austria,27,171,58,F,2/28/1985,Beach Volleyball,Women's Beach Volleyball,,,,
Doris Willette,United States of America,24,157,60,F,11/02/1988 (USA),Fencing,Women's Team Foil,,,,
Dorothee Schneider,Germany,43,169,63,F,2/17/1969,Equestrian,Individual Dressage; Team Dressage; DIVA ROYAL,YES,,0.33,
Dorothy Ludwig,Canada,33,153,51,F,1/16/1979,Shooting,Women's 10m Air Pistol,,,,
Dotsie Bausch,United States of America,39,173,59,F,03/06/1973,Cycling - Track,Women's Team Pursuit,YES,,0.33,
Douglas Csima,Canada,26,191,100,M,11/28/1985,Rowing,Men's Eight,YES,,0.111,
Douglas Vandor,Canada,37,180,70,M,8/25/1974,Rowing,Men's Lightweight Double Sculls,,,,
Doyler Eustoquio Sanchez Guerrero,Colombia,23,168,68,M,10/12/1988,Weightlifting,Men's 69kg,,,,
Dragan Draskovic,Montenegro,23,192,94,M,09/01/1988,Water Polo,Men's Water Polo,,,,
Dragan Marjanac,Serbia,27,190,90,M,2/26/1985,Handball,Men's Handball,,,,
Dragan Stankovic,Serbia,26,205,80,M,10/18/1985,Volleyball,Men's Volleyball,,,,
Dragan Travica,Italy,25,200,94,M,8/28/1986,Volleyball,Men's Volleyball,,,,
Dragana Gladovic,Serbia,20,168,,F,7/27/1992,Taekwondo,Women's -57kg,,,,
Drago Vukovic,Croatia,29,194,93,M,08/03/1983,Handball,Men's Handball,,,,
Dragos Agache,Romania,28,175,75,M,03/08/1984,Swimming,Men's 100m Breaststroke,,,,
Dragos Stoenescu,Romania,33,196,96,M,5/30/1979,Water Polo,Men's Water Polo,,,,
Drasko Brguljan,Montenegro,27,194,88,M,12/27/1984,Water Polo,Men's Water Polo,,,,
Dremiel Deshon Byers,United States of America,37,188,120,M,09/11/1974,Wrestling,Men's 120kg Greco-Roman,,,,
Drew Ginn,Australia,37,195,85,M,11/20/1974,Rowing,Men's Four,YES,,0.25,
Drew Sullivan,Great Britain,32,202,98,M,02/12/1980,Basketball,Men's Basketball,,,,
Driss Fettouhi,Morocco,22,178,74,M,9/30/1989,Football,Men's Football,,,,
Drusille Ngako Tchimi,Cameroon,25,164,66,F,6/23/1987,Football,Women's Football,,,,
Duane da Rocha Marce,Spain,24,180,60,F,01/07/1988,Swimming,Women's 100m Backstroke; Women's 200m Backstroke; Women's 4x100m Medley Relay,,,,
Duane Solomon,United States of America,27,191,77,M,12/28/1984,Athletics,Men's 800m,,,,
Dudu Karakaya,Turkey,26,,,F,11/11/1985,Athletics,Women's 5000m,,,,
Duhaeng Lee,Republic of Korea,30,180,64,M,12/25/1981,Athletics,Men's Marathon,,,,
Duk-Jun Lim,Republic of Korea,31,186,78,M,8/30/1980,Handball,Men's Handball,,,,
Duke Micah,Ghana,20,170,,M,9/16/1991,Boxing,Men's Fly (52kg),,,,
Dunia Susi,Great Britain,24,169,63,F,08/10/1987,Football,Women's Football,,,,
Dusan Mandic,Serbia,18,190,91,M,6/16/1994,Water Polo,Men's Water Polo,,,,
Dusko Pijetlovic,Serbia,27,186,95,M,4/25/1985,Water Polo,Men's Water Polo,,,,
Dwain Chambers,Great Britain,34,,,M,04/05/1978,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Dylan Armstrong,Canada,31,193,139,M,1/15/1981,Athletics,Men's Shot Put,,,,
Dylan Dunlop-Barrett,New Zealand,21,191,75,M,3/17/1991,Swimming,Men's 4x200m Freestyle Relay,,,,
Dylan Wykes,Canada,29,187,68,M,06/06/1983,Athletics,Men's Marathon,,,,
Dzhamal Otarsultanov,Russian Federation,25,163,55,M,4/14/1987,Wrestling,Men's 55kg Freestyle,,,,
Dzianis Harazha,Belarus,25,181,85,M,5/15/1987,Canoe Sprint,Men's Canoe Single (C1) 200m,,,,
Dzianis Mihal,Belarus,26,197,102,M,10/05/1985,Rowing,Men's Four,,,,
Dzianis Simanovich,Belarus,25,178,63,M,4/20/1987,Athletics,Men's 20km Race Walk,,,,
Dzina Sazanavets,Belarus,21,160,68,F,10/25/1990,Weightlifting,Women's 69kg,,,,
Dzmitry Kaspiarovich,Belarus,34,155,,M,10/15/1977,Gymnastics - Artistic,Men's Qualification,,,,
Dzmitry Marshin,Azerbaijan,39,186,115,M,9/15/1972,Athletics,Men's Hammer Throw,,,,
Dzmitry Meliakh,Belarus,33,178,71,M,07/02/1979,Modern Pentathlon,Men's Modern Pentathlon,,,,
Dzmitry Platnitski,Belarus,23,190,84,M,8/26/1988,Athletics,Men's Triple Jump,,,,
Eamon Sullivan,Australia,26,189,78,M,8/30/1985,Swimming,Men's 50m Freestyle; Men's 4x100m Freestyle Relay,,,,
Ebba Jungmark,Sweden,25,179,57,F,03/10/1987,Athletics,Women's High Jump,,,,
Ebrahim Barkhordari,Islamic Republic of Iran,29,170,79,M,9/14/1982,Shooting,Men's 50m Pistol; Men's 10m Air Pistol,,,,
Ed Fernon,Australia,24,182,73,M,02/06/1988,Modern Pentathlon,Men's Modern Pentathlon,,,,
Ed Mckeever,Great Britain,28,173,79,M,8/27/1983,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Ed Scott,Great Britain,24,197,85,M,5/28/1988,Water Polo,Men's Water Polo,,,,
Eddermys Sanchez,Belize,32,157,66,M,3/25/1980,Judo,Men's -66kg,,,,
Eddie Hernandez,Honduras,21,170,70,M,2/27/1991,Football,Men's Football,,,,
Eder Sanchez,Mexico,26,176,66,M,5/21/1986,Athletics,Men's 20km Race Walk,,,,
Edgar Cortez,Nicaragua,22,170,55,M,10/08/1989,Athletics,Men's 800m,,,,
Edgar Crespo,Panama,23,179,81,M,05/11/1989,Swimming,Men's 100m Breaststroke,,,,
Edgaras Venckaitis,Lithuania,26,171,66,M,12/12/1985,Wrestling,Men's 66kg Greco-Roman,,,,
Edi Maia,Portugal,24,188,84,M,11/10/1987,Athletics,Men's Pole Vault,,,,
Edickson Contreras Bracho,Venezuela,21,168,60,M,10/11/1990,Diving,Men's 3m Springboard,,,,
Edina Gangl,Hungary,22,181,67,F,6/25/1990,Water Polo,Women's Water Polo,,,,
Edino Steele,Jamaica,25,178,72,M,06/01/1987,Athletics,Men's 4 x 400m Relay,,,,
Edinson Cavani,Uruguay,25,184,74,M,2/14/1987,Football,Men's Football,,,,
Edith Bosch,Netherlands,32,183,70,F,5/31/1980,Judo,Women's -70kg,YES,,,1
Edith Ogoke,Nigeria,21,,,F,8/28/1990,Boxing,Women's Middle (75kg),,,,
Ediz Yildirimer,Turkey,18,175,65,M,10/25/1993,Swimming,Men's 1500m Freestyle,,,,
Edna Ngeringwony Kiplagat,Kenya,32,162,50,F,11/15/1979,Athletics,Women's Marathon,,,,
Eduar Marriaga Campo,Colombia,19,176,,M,11/25/1992,Boxing,Men's Light (60kg),,,,
Eduar Villanueva,Venezuela,27,172,65,M,12/29/1984,Athletics,Men's 1500m,,,,
Eduard Mikhan,Belarus,23,195,86,M,06/07/1989,Athletics,Men's Decathlon,,,,
Eduard Skornyakov,Russian Federation,31,185,94,M,10/16/1980,Sailing,Men's Finn,,,,
Eduard Tubau,Spain,31,180,77,M,01/06/1981,Hockey,Men's Hockey,,,,
Eduarda Amorim,Brazil,25,186,84,F,9/23/1986,Handball,Women's Handball,,,,
Eduardo Schwank,Argentina,26,183,83,M,4/23/1986,Tennis,Men's Doubles,,,,
Edvald Boasson Hagen,Norway,25,,,M,5/17/1987,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Edward Araya,Chile,26,176,61,M,2/14/1986,Athletics,Men's 50km Race Walk,,,,
Edward Clancy,Great Britain,27,186,77,M,03/12/1985,Cycling - Track,Men's Omnium; Men's Team Pursuit,YES,0.25,,1
Edward Dawkins,New Zealand,23,185,96,M,07/11/1989,Cycling - Track,Men's Sprint; Men's Team Sprint,,,,
Edward Gal,Netherlands,42,185,70,M,03/04/1970,Equestrian,Individual Dressage; Team Dressage; UNDERCOVER,YES,,,0.33
Edward Ling,Great Britain,29,178,76,M,03/07/1983,Shooting,Men's Trap,,,,
Edward Ockenden,Australia,25,180,73,M,04/03/1987,Hockey,Men's Hockey,,,,
Edwige Gwend,Italy,22,164,63,F,03/11/1990,Judo,Women's -63kg,,,,
Edwige Lawson-Wade,France,33,167,61,F,5/14/1979,Basketball,Women's Basketball,,,,
Edwin Alcibiades Avila Vanegas,Colombia,22,167,63,M,11/21/1989,Cycling - Track,Men's Team Pursuit,,,,
Edwin Ekiring,Uganda,28,180,64,M,12/22/1983,Badminton,Men's Singles,,,,
Edzus Treimanis,Latvia,24,182,80,M,4/21/1988,Cycling - BMX,Men's BMX,,,,
Eelco Sintnicolaas,Netherlands,25,186,81,M,04/07/1987,Athletics,Men's Decathlon,,,,
Efstathios Papadopoulos,Greece,23,185,74,M,4/24/1989,Sailing,Men's 470,,,,
Efthimios Mitas,Greece,27,190,98,M,5/15/1985,Shooting,Men's Skeet,,,,
Egidijus Balciunas,Lithuania,37,188,90,M,05/07/1975,Canoe Sprint,Men's Kayak Single (K1) 200m,,,,
Egidijus Kavaliauskas,Lithuania,24,176,,M,6/29/1988,Boxing,Men's Welter (69kg),,,,
Egidio Arevalo,Uruguay,30,168,73,M,01/01/1982,Football,Men's Football,,,,
Egle Staisiunaite,Lithuania,23,174,59,F,9/30/1988,Athletics,Women's 400m Hurdles,,,,
Eglys Yahima de la Cruz,Cuba,32,,,F,04/12/1980,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Egor Degtyarev,Russian Federation,20,202,96,M,2/25/1992,Swimming,Men's 400m Freestyle,,,,
Egor Mekhontcev,Russian Federation,27,185,,M,11/14/1984,Boxing,Men's Light Heavy (81kg),,,,
Egor Nikolaev,Russian Federation,24,176,60,M,4/28/1988,Athletics,Men's 1500m,,,,
Egor Zubovich,Belarus,23,184,78,M,06/01/1989,Football,Men's Football,,,,
Ehsan Hadadi,Islamic Republic of Iran,27,192,110,M,1/20/1985,Athletics,Men's Discus Throw,YES,,1,
Ehsan Naser Lashgari,Islamic Republic of Iran,26,180,84,M,8/30/1985,Wrestling,Men's 84kg Freestyle,,,,
Ehsan Rouzbahani,Islamic Republic of Iran,24,178,,M,6/23/1988,Boxing,Men's Light Heavy (81kg),,,,
Eider Arevalo,Colombia,19,,,M,03/09/1993,Athletics,Men's 20km Race Walk,,,,
Eilidh Child,Great Britain,25,171,59,F,2/20/1987,Athletics,Women's 400m Hurdles,,,,
Eilish McColgan,Great Britain,21,154,53,F,11/25/1990,Athletics,Women's 3000m Steeplechase,,,,
Eirik Veras Larsen,Norway,36,,,M,3/26/1976,Canoe Sprint,Men's Kayak Single (K1) 1000m,YES,1,,
Eisa Majrashi,Saudi Arabia,26,,59,M,7/19/1986,Judo,Men's -60kg,,,,
Eivind Henriksen,Norway,21,,,M,9/14/1990,Athletics,Men's Hammer Throw,,,,
Eivind Melleby,Norway,40,,,M,4/19/1972,Sailing,Men's Star,,,,
Ek Boonsawad,Thailand,23,182,80,M,10/30/1988,Sailing,Men's RS-X,,,,
Ekaterina Andreeva,Russian Federation,19,174,64,F,08/03/1993,Swimming,Women's 200m Individual Medley,,,,
Ekaterina Avramova,Bulgaria,20,175,65,F,11/12/1991,Swimming,Women's 100m Backstroke; Women's 200m Backstroke,,,,
Ekaterina Davydenko,Russian Federation,23,182,75,F,03/07/1989,Handball,Women's Handball,,,,
Ekaterina Galitskaya,Russian Federation,25,174,63,F,2/24/1987,Athletics,Women's 100m Hurdles,,,,
Ekaterina Gamova,Russian Federation,31,202,80,F,10/17/1980,Volleyball,Women's Volleyball,,,,
Ekaterina Gnidenko,Russian Federation,19,167,65,F,12/11/1992,Cycling - Track,Women's Sprint; Women's Keirin,,,,
Ekaterina Kabeshova,Russian Federation,25,172,61,F,08/05/1986,Volleyball,Women's Volleyball,,,,
Ekaterina Karsten,Belarus,40,185,80,F,06/02/1972,Rowing,Women's Single Sculls,,,,
Ekaterina Khilko,Uzbekistan,30,163,,F,3/25/1982,Trampoline,Women's Trampoline,,,,
Ekaterina Khomyakova,Russian Federation,24,180,62,F,08/11/1987,Beach Volleyball,Women's Beach Volleyball,,,,
Ekaterina Khuraskina,Russian Federation,22,165,53,F,8/21/1989,Modern Pentathlon,Women's Modern Pentathlon,,,,
Ekaterina Kostetskaya,Russian Federation,25,169,50,F,12/31/1986,Athletics,Women's 1500m,,,,
Ekaterina Lisunova,Russian Federation,22,174,62,F,10/06/1989,Water Polo,Women's Water Polo,,,,
Ekaterina Makarova,Russian Federation,24,176,60,F,06/07/1988,Tennis,Women's Doubles,,,,
Ekaterina Marennikova,Russian Federation,30,173,70,F,4/29/1982,Handball,Women's Handball,,,,
Ekaterina Martynova,Russian Federation,25,172,59,F,08/06/1986,Athletics,Women's 1500m,,,,
Ekaterina Poistogova,Russian Federation,21,175,65,F,03/01/1991,Athletics,Women's 800m,,,,
Ekaterina Poplavskaya,Belarus,25,169,60,F,05/07/1987,Athletics,Women's 100m Hurdles,,,,
Ekaterina Prokofyeva,Russian Federation,21,166,63,F,3/13/1991,Water Polo,Women's Water Polo,,,,
Ekaterina Skudina,Russian Federation,31,168,56,F,3/21/1981,Sailing,Women's Elliott 6m,,,,
Ekaterina Tankeeva,Russian Federation,23,168,65,F,6/28/1989,Water Polo,Women's Water Polo,,,,
Ekaterini Stefanidi,Greece,22,172,62,F,02/04/1990,Athletics,Women's Pole Vault,,,,
Ekene Ibekwe,Nigeria,27,206,,M,7/19/1985,Basketball,Men's Basketball,,,,
El Mahdi Bellaarouss,Morocco,22,184,76,M,12/25/1989,Football,Men's Football,,,,
El Mehdi Malki,Morocco,24,198,133,M,01/01/1988,Judo,Men's +100kg,,,,
El-Sayed Lashin,Egypt,32,175,80,M,02/09/1980,Table Tennis,Men's Singles; Men's Team,,,,
El-Yamine Mokdad,Algeria,26,162,,M,7/13/1986,Taekwondo,Men's -58kg,,,,
Elaheh Ahmadi,Islamic Republic of Iran,30,160,58,F,5/31/1982,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Elaine Pen,Netherlands,22,168,65,F,02/02/1990,Equestrian,Individual Eventing; Team Eventing; VIRA,,,,
Elama Fa'atonu,American Samoa,18,175,82,M,4/30/1994,Athletics,Men's 100m,,,,
Elania Nardelli,Italy,25,160,60,F,07/07/1987,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Elbek Tazhyieu,Belarus,26,160,55,M,01/07/1986,Wrestling,Men's 55kg Greco-Roman,,,,
Elco van der Geest,Belgium,33,190,100,M,05/04/1979,Judo,Men's -100kg,,,,
Eldesoky Shaban,Egypt,29,185,120,M,01/01/1983,Wrestling,Men's 120kg Freestyle,,,,
Ele Opeloge,Samoa,27,175,75,F,07/11/1985,Weightlifting,Women's +75kg,,,,
Elea Mariama Diarra,France,22,175,60,F,03/08/1990,Athletics,Women's 4 x 400m Relay,,,,
Eleanor Logan,United States of America,24,188,84,F,12/27/1987,Rowing,Women's Eight,YES,0.111,,
Eleftherios Konsolas,Greece,23,173,70,M,12/17/1988,Rowing,Men's Lightweight Double Sculls,,,,
Elena Allen,Great Britain,40,169,67,F,07/12/1972,Shooting,Women's Skeet,,,,
Elena Arzhakova,Russian Federation,22,167,54,F,09/08/1989,Athletics,Women's 800m,,,,
Elena Baltacha,Great Britain,28,175,70,F,8/14/1983,Tennis,Women's Singles; Women's Doubles,,,,
Elena Churakova,Russian Federation,25,174,56,F,12/16/1986,Athletics,Women's 400m Hurdles,,,,
Elena Danilyuk-Nevmerzhytskaya,Belarus,32,164,56,F,7/27/1980,Athletics,Women's 4 x 100m Relay,,,,
Elena Gemo,Italy,25,181,69,F,3/17/1987,Swimming,Women's 100m Backstroke; Women's 4x100m Medley Relay,,,,
Elena Gigli,Italy,27,190,76,F,07/09/1985,Water Polo,Women's Water Polo,,,,
Elena Isinbaeva,Russian Federation,30,174,59,F,06/03/1982,Athletics,Women's Pole Vault,YES,,,1
Elena Ivashchenko,Russian Federation,27,184,103,F,12/28/1984,Judo,Women's +78kg,,,,
Elena Lashmanova,Russian Federation,20,170,48,F,04/09/1992,Athletics,Women's 20km Race Walk,,,,
Elena Lopez,Spain,17,168,,F,10/04/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Elena Maria Bonfanti,Italy,24,172,60,F,07/09/1988,Athletics,Women's 4 x 400m Relay,,,,
Elena Mirela Lavric,Romania,21,164,49,F,2/17/1991,Athletics,Women's 800m,,,,
Elena Moretti,Italy,25,160,48,F,6/29/1987,Judo,Women's -48kg,,,,
Elena Oblova,Russian Federation,24,178,71,F,4/18/1988,Sailing,Women's Elliott 6m,,,,
Elena Popescu,Republic of Moldova,22,167,52,F,09/06/1989,Athletics,Women's 800m,,,,
Elena Richter,Germany,23,174,67,F,07/03/1989,Archery,Women's Individual,,,,
Elena Romagnolo,Italy,29,161,49,F,10/05/1982,Athletics,Women's 5000m,,,,
Elena Rublevska,Latvia,36,173,59,F,3/23/1976,Modern Pentathlon,Women's Modern Pentathlon,,,,
Elena Savelyeva,Russian Federation,28,168,,F,6/16/1984,Boxing,Women's Fly (51kg),,,,
Elena Sergey Pirozhkov,United States of America,25,168,63,F,10/13/1986,Wrestling,Women's 63kg Freestyle,,,,
Elena Siuzeva,Russian Federation,25,169,62,F,6/29/1987,Sailing,Women's Elliott 6m,,,,
Elena Smolyanova,Uzbekistan,26,174,85,F,2/16/1986,Athletics,Women's Shot Put,,,,
Elena Sokolova,Russian Federation,26,170,61,F,23/07/1986,Athletics,Women's Long jump,YES,,1,
Elena Tchalykh,Azerbaijan,38,159,59,F,3/25/1974,Cycling - Road,Women's Individual Time Trial; Women's Road Race,,,,
Elena Timina,Netherlands,43,177,63,F,05/08/1969,Table Tennis,Women's Team,,,,
Elena Todorova,Bulgaria,18,173,,F,07/01/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Elena Vesnina,Russian Federation,26,180,65,F,08/01/1986,Tennis,Women's Doubles; Mixed Doubles,,,,
Elena Vystropova,Azerbaijan,23,174,,F,11/03/1988,Boxing,Women's Middle (75kg),,,,
Eleni Artymata,Cyprus,26,177,59,F,5/16/1986,Athletics,Women's 200m,,,,
Eleni Doika,Greece,16,168,,F,11/15/1995,Gymnastics - Rhythmic,Group All-Around,,,,
Eleni Filandra,Greece,28,174,58,F,01/12/1984,Athletics,Women's 800m,,,,
Eleonora Giorgi,Italy,22,162,52,F,9/14/1989,Athletics,Women's 20km Race Walk,,,,
Eleonora Lo Bianco,Italy,32,171,67,F,12/22/1979,Volleyball,Women's Volleyball,,,,
Elia Luini,Italy,33,183,72,M,6/23/1979,Rowing,Men's Lightweight Double Sculls,,,,
Elia Viviani,Italy,23,177,70,M,02/07/1989,Cycling - Road; Cycling - Track,Men's Road Race; Men's Omnium,,,,
Eliane Saholinirina,Madagascar,30,155,43,F,3/20/1982,Athletics,Women's 1500m,,,,
Elias Cuesta,Spain,27,177,76,M,3/15/1985,Archery,Men's Individual,,,,
Elias Malave,Venezuela,22,179,72,M,10/26/1989,Archery,Men's Individual,,,,
Eliecith Palacios,Colombia,24,175,67,F,9/15/1987,Athletics,Women's 4 x 100m Relay,,,,
Elif Jale Yesilirmak,Turkey,26,,,F,7/30/1986,Wrestling,Women's 63kg Freestyle,,,,
Elif Yildirim,Turkey,22,,,F,2/14/1990,Athletics,Women's 4 x 400m Relay,,,,
Elin Johansson,Sweden,21,175,,F,08/05/1990,Taekwondo,Women's -67kg,,,,
Eline Berings,Belgium,26,165,58,F,5/28/1986,Athletics,Women's 100m Hurdles,,,,
Elio Verde,Italy,24,165,60,M,09/10/1987,Judo,Men's -60kg,,,,
Elisa Barnard,Australia,19,171,57,F,5/27/1993,Archery,Women's Individual,,,,
Elisa Blanchi,Italy,24,169,,F,10/13/1987,Gymnastics - Rhythmic,Group All-Around,,,,
Elisa Casanova,Italy,38,185,100,F,11/26/1973,Water Polo,Women's Water Polo,,,,
